#CNES;CNPJ;NO_FANTASIA;UF;MUNICIPIO;DS_TIPO_UNIDADE;ACREDITACAO;ACREDITADORA
6176666;29259736000403;HOSPITAL RIOS DOR;RJ;Rio de Janeiro;HOSPITAL GERAL;JCI;CBA
6314023;87096616003101;CENTRO DE ONCOLOGIA UNIMED PORTO ALEGRE;RS;Porto Alegre;CLINICA/CENTRO DE ESPECIALIDADE;ONA Nível 3;ONA
9078657;32404410000941;MULTISCAN IMAGEM E DIAGNOSTICO;ES;Serra;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);ONA Nível 3;ONA
6167969;32404410000437;MULTISCAN IMAGEM E DIAGNOSTICO;ES;Vila Velha;CLINICA/CENTRO DE ESPECIALIDADE;ONA Nível 3;ONA
3167895;27578434001525;HOSPITAL UNIMED VITORIA HU;ES;Vitória;HOSPITAL GERAL;ONA Nível 3;ONA
6719686;11880274000139;SERVICO DE HEMOTERAPIA NORTE FLUMINENSE;RJ;Macaé;CENTRO DE ATENCAO HEMOTERAPIA E OU HEMATOLOGICA;ONA Nível 3;ONA
3594432;30145502000171;HOSPITAL NITEROI DOR;RJ;Niterói;HOSPITAL GERAL;ONA Nível 3;ONA
3063216;1607538000121;HOSPITAL CARDIOLOGICO COSTANTINI;PR;Curitiba;HOSPITAL GERAL;ONA Nível 3;ONA
3221881;67838490000170;CCC CENTRO DE COMBATE AO CANCER;SP;São Paulo;CLINICA/CENTRO DE ESPECIALIDADE;ONA Nível 3;ONA
9611339;67838490000413;CCC CENTRO DE COMBATE AO CANCER;SP;São Paulo;CLINICA/CENTRO DE ESPECIALIDADE;ONA Nível 3;ONA
2680785;8100676000673;NEXT HOSPITAL SANTO AMARO;SP;São Paulo;HOSPITAL GERAL;ONA Nível 3;ONA
2521458;750846000149;HOSPITAL DE OLHOS SADALLA AMIN GHANEM;SC;Joinville;HOSPITAL/DIA - ISOLADO;ONA Nível 3;ONA
5062306;44649812005954;INTERMEDICA SISTEMA DE SAUDE C C ITAVUVU;SP;Sorocaba;POLICLINICA;ONA Nível 3;ONA
2398001;1751584000108;INSTITUTO SUL PARANAENSE DE ONCOLOGIA;PR;Ponta Grossa;POLICLINICA;ONA Nível 3;ONA
3543811;2623693000102;NUCLEO DE HEMATOLOGIA E TRANSPLANTE DE MEDULA OSSEA DE MG;MG;Belo Horizonte;CLINICA/CENTRO DE ESPECIALIDADE;ONA Nível 3;ONA
27952;42945394000109;NEOCENTER;MG;Belo Horizonte;HOSPITAL ESPECIALIZADO;ONA Nível 3;ONA
3648907;42945394000362;NEOCENTER;MG;Belo Horizonte;HOSPITAL ESPECIALIZADO;ONA Nível 3;ONA
9149589;42771949002693;AXIAL FILIAL MEGA;MG;Belo Horizonte;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);ONA Nível 3;ONA
3456145;21693445000255;SERMIG SERV RADIOLOGIA E ULTRA SONOGRAFIA DE MINAS GERAIS L;MG;Belo Horizonte;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);ONA Nível 3;ONA
2220326;4267979000110;LABORATORIO INTERLAB LTDA;MG;Contagem;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);ONA Nível 3;ONA
5253381;12442737000496;HOSPITAL UNIMED;AL;Maceió;HOSPITAL GERAL;ONA Nível 3;ONA
2080699;44803922000293;HOSPITAL UNIMED PIRACICABA;SP;Piracicaba;HOSPITAL GERAL;ONA Nível 3;ONA
5290449;2588971000120;CRON CENTRO REGIONAL DE ONCOLOGIA;RS;Estrela;CLINICA/CENTRO DE ESPECIALIDADE;ONA Nível 3;ONA
6463592;10525310000183;ONCOTRATA ONCOLOGIA INTEGRATIVA;RS;Porto Alegre;CLINICA/CENTRO DE ESPECIALIDADE;ONA Nível 3;ONA
7293569;11280030000115;CDI DIAGNOSTICOS ANGIOTOMOGRAFICOS LTDA;GO;Goiânia;CLINICA/CENTRO DE ESPECIALIDADE;ONA Nível 3;ONA
2519275;2531747000100;HOSPITAL DO CORACAO;GO;Goiânia;HOSPITAL GERAL;ONA Nível 3;ONA
3275388;2198534000108;LABORATORIO DE PATOLOGIA BACCHI LTDA BOTUCATU;SP;Botucatu;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);ONA Nível 3;ONA
11738;28137925000106;HOSPITAL SANTA RITA DE CASSIA;ES;Vitória;HOSPITAL ESPECIALIZADO;ONA Nível 3;ONA
5483298;45309606000141;UNIMED FRANCA SP;SP;Franca;POLICLINICA;ONA Nível 3;ONA
3014681;29435005003497;HOSPITAL DE CLINICAS MARIO LIONI;RJ;Duque de Caxias;HOSPITAL GERAL;ONA Nível 3;ONA
3114252;39256128000156;HOSPITAL DE OLHOS NITEROI;RJ;Niterói;HOSPITAL/DIA - ISOLADO;ONA Nível 3;ONA
5712068;82996703000348;HOSPITAL UNIMED CRICIUMA;SC;Criciúma;HOSPITAL GERAL;ONA Nível 3;ONA
2758164;92736040000890;HOSPITAL SAO JOSE;SC;Criciúma;HOSPITAL GERAL;ONA Nível 3;ONA
3501116;55678577000149;INSTITUTO DE OLHOS EDUARDO PAULINO;SP;Santos;CLINICA/CENTRO DE ESPECIALIDADE;ONA Nível 3;ONA
3406229;499569000143;CLINICA ONCOLOGICA O FEHER LTDA;SP;São Paulo;CONSULTORIO ISOLADO;ONA Nível 3;ONA
3110168;3140417000148;CLINICA ORTOPEDICA PAULISTA;SP;São Paulo;CLINICA/CENTRO DE ESPECIALIDADE;ONA Nível 3;ONA
2078457;18180008000142;HOSPITAL SANTA VIRGINIA;SP;São Paulo;HOSPITAL GERAL;ONA Nível 3;ONA
7830254;43721026000301;GIP MEDICINA DIAGNOSTICA S A EXPRESS;SP;São Paulo;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);ONA Nível 3;ONA
7182317;16985840000190;CR DIAGNOSTICOS;SP;São Paulo;CLINICA/CENTRO DE ESPECIALIDADE;ONA Nível 3;ONA
3874648;4036348000190;ONCOCENTER;SP;São Paulo;CLINICA/CENTRO DE ESPECIALIDADE;ONA Nível 3;ONA
3160548;52945193000823;HOSPITAL DE OLHOS PAULISTA;SP;São Paulo;HOSPITAL/DIA - ISOLADO;ONA Nível 3;ONA
178748;50252998000351;CURA CENTRO DE ULTRASSONOGRAFIA E RADIOLOGIA;SP;São Paulo;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);ONA Nível 3;ONA
3451682;50252998000190;CURA CENTRO DE ULTRASSONOGRAFIA E RADIOLOGIA;SP;São Paulo;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);ONA Nível 3;ONA
3126838;60975737007245;HOSPITAL REGIONAL DO VALE DO PARAIBA;SP;Taubaté;HOSPITAL GERAL;ONA Nível 3;ONA
2078767;50739135001709;HOSPITAL PITANGUEIRAS;SP;Jundiaí;HOSPITAL GERAL;ONA Nível 3;ONA
9862137;25463423000179;VITA HEMOTERAPIA UNIDADE MATRIZ;MG;Belo Horizonte;CENTRO DE ATENCAO HEMOTERAPIA E OU HEMATOLOGICA;ONA Nível 3;ONA
9594175;25463423000764;VITA HEMOTERAPIA AGENCIA TRANSFUSIONAL VERA CRUZ;MG;Belo Horizonte;CENTRO DE ATENCAO HEMOTERAPIA E OU HEMATOLOGICA;ONA Nível 3;ONA
5092302;3085181000194;CLINICA OCULAR MEDICAL CENTER;MG;Belo Horizonte;HOSPITAL/DIA - ISOLADO;ONA Nível 3;ONA
3485404;21946256000166;CLINICA CEU;MG;Belo Horizonte;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);ONA Nível 3;ONA
5524660;21693445000336;SERMIG SERV RADIOLOGIA E ULTRA SONOGRAFIA DE MINAS GERAIS L;MG;Belo Horizonte;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);ONA Nível 3;ONA
3144682;1519101000136;ITAIGARA MEMORIAL HOSPITAL DIA;BA;Salvador;HOSPITAL/DIA - ISOLADO;ONA Nível 3;ONA
7607636;1519101000217;ITAIGARA MEMORIAL GASTRO HEPATO;BA;Salvador;HOSPITAL/DIA - ISOLADO;ONA Nível 3;ONA
2344807;6047087001291;HOSPITAL ESPERANCA OLINDA;PE;Olinda;HOSPITAL GERAL;ONA Nível 3;ONA
2603381;3976519000106;DI IMAGEM CENTRO DE DIAGNOSTICO INTEGRADO POR IMAGEM LTDA;MS;Campo Grande;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);ONA Nível 3;ONA
6158285;8773548000186;KZT ATENCAO MEDICA DOMICILIAR;MS;Campo Grande;SERVICO DE ATENCAO DOMICILIAR ISOLADO(HOME CARE);ONA Nível 3;ONA
3356744;3068389000103;CLINIONCO;RS;Porto Alegre;CLINICA/CENTRO DE ESPECIALIDADE;ONA Nível 3;ONA
5207606;814356000169;CDI DIAGNOSTICOS EM CARDIOLOGIA;GO;Goiânia;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);ONA Nível 3;ONA
3005402;6047087004126;HOSPITAL SANTA LUZIA;DF;Brasília;HOSPITAL GERAL;ONA Nível 3;ONA
2049775;49232499000151;LABORATORIO DE PATOLOGIA CIRURGICA CITOPATOLOGIA RIB PRETO;SP;Ribeirão Preto;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);ONA Nível 3;ONA
2491796;80490618000116;PROVIDA;SC;Tubarão;HOSPITAL/DIA - ISOLADO;ONA Nível 3;ONA
3718395;85377174000392;HOSPITAL UNIMED LITORAL;SC;Balneário Camboriú;HOSPITAL GERAL;ONA Nível 3;ONA
3160408;942063000167;HOSPITAL INC;PR;Curitiba;HOSPITAL GERAL;ONA Nível 3;ONA
2097613;59972307000105;HOSPITAL INFANTE D HENRIQUE;SP;São José do Rio Preto;HOSPITAL GERAL;ONA Nível 3;ONA
3146057;3988640000140;ONCOTERAPIA MATRIZ;SP;São Paulo;CLINICA/CENTRO DE ESPECIALIDADE;ONA Nível 3;ONA
6416551;10475230000160;HEMOMED INSTITUTO DE ONCOLOGIA E HEMATOLOGIA;SP;São Paulo;CLINICA/CENTRO DE ESPECIALIDADE;ONA Nível 3;ONA
7860285;43721026000484;GIP MEDICINA DIAGNOSTICA S A MOEMA;SP;São Paulo;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);ONA Nível 3;ONA
7593589;43721026000212;GIP MEDICINA DIAGNOSTICA S A PREFERENCE;SP;São Paulo;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);ONA Nível 3;ONA
2088932;61047007000153;COLSAN SAO PAULO;SP;São Paulo;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);ONA Nível 3;ONA
5997666;3007588000101;BANCO DE SANGUE SANTA TERESA;RJ;Petrópolis;CENTRO DE ATENCAO HEMOTERAPIA E OU HEMATOLOGICA;ONA Nível 3;ONA
3176983;3800375000124;CLINEFRO;BA;Juazeiro;CLINICA/CENTRO DE ESPECIALIDADE;ONA Nível 3;ONA
6714722;25463423000250;VITA HEMOTERAPIA LTDA UNIDADE SANTO AGOSTINHO;MG;Belo Horizonte;CENTRO DE ATENCAO HEMOTERAPIA E OU HEMATOLOGICA;ONA Nível 3;ONA
3143163;21693445000174;SERMIG SERV RADIOLOGIA E ULTRA SONOGRAFIA DE MINAS GERAIS L;MG;Belo Horizonte;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);ONA Nível 3;ONA
2153084;21583042000172;HOSPITAL E MATERNIDADE THEREZINHA DE JESUS;MG;Juiz de Fora;HOSPITAL GERAL;ONA Nível 3;ONA
3013588;25415993000193;HOSPITAL MONTE SINAI;MG;Juiz de Fora;HOSPITAL GERAL;ONA Nível 3;ONA
6637;318156000115;INED;BA;Salvador;CLINICA/CENTRO DE ESPECIALIDADE;ONA Nível 3;ONA
3240509;1438059000129;RENAL SERVICES;PE;Olinda;CLINICA/CENTRO DE ESPECIALIDADE;ONA Nível 3;ONA
6635148;35917970000726;HOSPITAL UNIMED;RJ;Volta Redonda;HOSPITAL GERAL;ONA Nível 3;ONA
6709818;87096616002482;CENTRO DE DIAGNOSTICO UNIMED POA SHOPPING TOTAL;RS;Porto Alegre;CLINICA/CENTRO DE ESPECIALIDADE;ONA Nível 3;ONA
2254611;95815668000101;HOSPITAL VIDA SAUDE;RS;Santa Rosa;HOSPITAL GERAL;ONA Nível 3;ONA
6362710;3496858000853;HEMOCLINICA VI;DF;Brasília;CENTRO DE ATENCAO HEMOTERAPIA E OU HEMATOLOGICA;ONA Nível 3;ONA
5027438;6047087004207;HOSPITAL DO CORACAO DO BRASIL;DF;Brasília;HOSPITAL ESPECIALIZADO;ONA Nível 3;ONA
2151928;19040906000168;SABIN MEDICINA DIAGNOSTICA;MG;Uberlândia;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);ONA Nível 3;ONA
2494450;625711000151;HOSPITAL MERIDIONAL;ES;Cariacica;HOSPITAL GERAL;ONA Nível 3;ONA
3261786;32404410000194;MULTISCAN IMAGEM E DIAGNOSTICO;ES;Vitória;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);ONA Nível 3;ONA
3143341;39466693000148;CTS;RJ;Duque de Caxias;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);ONA Nível 3;ONA
15318;76562198000169;HNSG;PR;Curitiba;HOSPITAL GERAL;ONA Nível 3;ONA
2537397;85283299000272;HOSPITAL UNIMED CHAPECO;SC;Chapecó;HOSPITAL GERAL;ONA Nível 3;ONA
7685491;61047007000668;COLSAN HEMOCENTRO SBC;SP;São Bernardo do Campo;CENTRO DE ATENCAO HEMOTERAPIA E OU HEMATOLOGICA;ONA Nível 3;ONA
9520201;51131969001376;TECNOLAB UNIDADE XII SAO BERNARDO;SP;São Bernardo do Campo;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);ONA Nível 3;ONA
9228217;8397078000446;AGENCIA TRANSFUSIONAL HOSPITAL SAO LUIZ ANALIA FRANCO;SP;São Paulo;CENTRO DE ATENCAO HEMOTERAPIA E OU HEMATOLOGICA;ONA Nível 3;ONA
2077469;60975976000101;HOSP DOM ALVARENGA;SP;São Paulo;HOSPITAL GERAL;ONA Nível 3;ONA
2084333;61442190000191;HOSP IGESP;SP;São Paulo;HOSPITAL GERAL;ONA Nível 3;ONA
262943;47673793010217;AFIP PADRE MACHADO;SP;São Paulo;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);ONA Nível 3;ONA
3105431;57061707000125;LAB PATOLOGIA CIR FERDINANDO Q COSTA;SP;São Paulo;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);ONA Nível 3;ONA
3118800;2023055000142;INSTITUTO VIZIBELLI;MG;Belo Horizonte;CLINICA/CENTRO DE ESPECIALIDADE;ONA Nível 3;ONA
27936;86991429000103;OCULARE CENTRO DE OFTALMOLOGIA;MG;Belo Horizonte;HOSPITAL/DIA - ISOLADO;ONA Nível 3;ONA
5332060;42771949000640;AXIAL FILIAL GONCALVES DIAS;MG;Belo Horizonte;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);ONA Nível 3;ONA
2695626;42771949000135;AXIAL BERNARDO MONTEIRO;MG;Belo Horizonte;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);ONA Nível 3;ONA
6748139;5503624000145;CAPTAMED CUIDADOS CONTINUADOS LTDA;MG;Belo Horizonte;SERVICO DE ATENCAO DOMICILIAR ISOLADO(HOME CARE);ONA Nível 3;ONA
2006472;1722424000122;HOSPITAL MEMORIAL ARTHUR RAMOS;AL;Maceió;HOSPITAL GERAL;ONA Nível 3;ONA
2814188;33419482000178;PERINATAL LARANJEIRAS CASA DE SAUDE LARANJEIRAS;RJ;Rio de Janeiro;HOSPITAL ESPECIALIZADO;ONA Nível 3;ONA
2252287;91162511000165;HOSPITAL BRUNO BORN;RS;Lajeado;HOSPITAL GERAL;ONA Nível 3;ONA
7796277;25463423000683;VITA HEMOTERAPIA UNIDADE CONTORNO;MG;Belo Horizonte;CENTRO DE ATENCAO HEMOTERAPIA E OU HEMATOLOGICA;ONA Nível 3;ONA
6483674;19418169001166;HEMOSERVICE SERRA;MG;Belo Horizonte;CENTRO DE ATENCAO HEMOTERAPIA E OU HEMATOLOGICA;ONA Nível 3;ONA
6714897;25463423000330;VITA HEMOTERAPIA UNIDADE BARRO PRETO;MG;Belo Horizonte;CENTRO DE ATENCAO HEMOTERAPIA E OU HEMATOLOGICA;ONA Nível 3;ONA
3326446;3401608000116;BIOVISAO;MG;Belo Horizonte;HOSPITAL/DIA - ISOLADO;ONA Nível 3;ONA
3686159;18271916000141;LABORATORIO HUGO SILVIANO BRANDAO;MG;Belo Horizonte;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);ONA Nível 3;ONA
6427286;3313300000119;CONLAB;MG;Belo Horizonte;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);ONA Nível 3;ONA
9866108;25463423000845;VITA HEMOTERAPIA UNIDADE BETIM;MG;Betim;CENTRO DE ATENCAO HEMOTERAPIA E OU HEMATOLOGICA;ONA Nível 3;ONA
2488892;13284872000170;IBR HOSPITAL;BA;Vitória da Conquista;HOSPITAL GERAL;ONA Nível 3;ONA
2775999;23278898000160;IRMANDADE DA SANTA CASA DE MISERICORDIA DE PASSOS;MG;Passos;HOSPITAL GERAL;ONA Nível 3;ONA
2221837;19418169000194;HEMOSERVICE;MG;Contagem;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);ONA Nível 3;ONA
6221777;9631428000107;HOSPITAL DE ENDOSCOPIA RAMIRO MASCARENHAS;BA;Salvador;HOSPITAL/DIA - ISOLADO;ONA Nível 3;ONA
3826759;5981086000102;SONIMED;MS;Campo Grande;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);ONA Nível 3;ONA
3366219;51093193000456;HOSPITAL UNIMED DE ARACATUBA;SP;Araçatuba;HOSPITAL GERAL;ONA Nível 3;ONA
6480551;1841504000105;HOSPITALAR ATS;RS;Porto Alegre;SERVICO DE ATENCAO DOMICILIAR ISOLADO(HOME CARE);ONA Nível 3;ONA
2494442;28127926000161;HOSPITAL EVANGELICO DE VILA VELHA;ES;Vila Velha;HOSPITAL GERAL;ONA Nível 3;ONA
2080753;50486026000160;HOSPITAL E MATERNIDADE SAO JOAQUIM;SP;Franca;HOSPITAL GERAL;ONA Nível 3;ONA
2091410;45876208000107;CENTRO DE HEMATOLOGIA DE SAO PAULO;SP;São Paulo;CLINICA/CENTRO DE ESPECIALIDADE;ONA Nível 3;ONA
3472264;63879381000140;HOSPITAL HSM;PA;Belém;HOSPITAL GERAL;ONA Nível 3;ONA
27561;25463423000926;VITA HEMOTERAPIA AGENCIA TRANSFUSIONAL FELICIO ROCHO;MG;Belo Horizonte;CENTRO DE ATENCAO HEMOTERAPIA E OU HEMATOLOGICA;ONA Nível 3;ONA
2153882;21575709000195;SANTA CASA DE MISERICORDIA DE JUIZ DE FORA;MG;Juiz de Fora;HOSPITAL GERAL;ONA Nível 3;ONA
2017199;4159778000107;SAMEL;AM;Manaus;HOSPITAL GERAL;ONA Nível 3;ONA
3038130;48628366000721;HOSPITAL UNIMED AMERICANA;SP;Americana;HOSPITAL GERAL;ONA Nível 3;ONA
2599813;1428111000166;DI IMAGEM RUI BARBOSA;MS;Campo Grande;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);ONA Nível 3;ONA
3530124;3457169000163;NUCLEAR CDI;GO;Goiânia;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);ONA Nível 3;ONA
6245803;10355861000146;UNIIMAGEM;MS;Dourados;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);ONA Nível 3;ONA
2079666;44595700000141;CENTRO MEDICO DE CAMPINAS;SP;Campinas;HOSPITAL GERAL;ONA Nível 3;ONA
2081032;44663631000590;HOSPITAL UNIMED DE RIO CLARO;SP;Rio Claro;HOSPITAL GERAL;ONA Nível 3;ONA
9755020;51131969001457;TECNOLAB UNIDADE XIII DIADEMA;SP;Diadema;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);ONA Nível 3;ONA
3450198;2209094000139;VITORIA APART HOSPITAL S A;ES;Serra;HOSPITAL GERAL;ONA Nível 3;ONA
7855818;87096616006399;UNIMED PORTO ALEGRE LABORATORIO CACHOEIRINHA;RS;Cachoeirinha;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);ONA Nível 3;ONA
2753235;75092189000199;HEMOBANCO;PR;Curitiba;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);ONA Nível 3;ONA
3024660;6047087000805;HOSPITAL ASSUNCAO;SP;São Bernardo do Campo;HOSPITAL GERAL;ONA Nível 3;ONA
3898083;51131969000132;TECNOLAB UNIDADE I MATRIZ SAO BERNARDO DO CAMPO;SP;São Bernardo do Campo;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);ONA Nível 3;ONA
2089785;52803319000159;HOSPITAL DO RIM E HIPERTENSAO;SP;São Paulo;HOSPITAL ESPECIALIZADO;ONA Nível 3;ONA
3156702;53499141000167;EYE CLINIC IBIRAPUERA;SP;São Paulo;HOSPITAL ESPECIALIZADO;ONA Nível 3;ONA
5681650;976637000118;DAVITA MARCO;PA;Belém;CLINICA/CENTRO DE ESPECIALIDADE;ONA Nível 3;ONA
2341018;5481868000174;LABORATORIO RUTH BRAZAO;PA;Belém;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);ONA Nível 3;ONA
2530805;819576000185;HRO;MA;São Luís;HOSPITAL ESPECIALIZADO;ONA Nível 3;ONA
6715117;25463423000411;VITA HEMOTERAPIA UNIDADE JUIZ DE FORA;MG;Belo Horizonte;CENTRO DE ATENCAO HEMOTERAPIA E OU HEMATOLOGICA;ONA Nível 3;ONA
5438993;6813708000148;PATOLOGIA SAO LUCAS LTDA;MG;Lavras;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);ONA Nível 3;ONA
9615172;14770457000602;CLINICA SENHOR DO BONFIM;BA;Salvador;CLINICA/CENTRO DE ESPECIALIDADE;ONA Nível 3;ONA
3827992;5469172000122;HOSPITAL DA BAHIA;BA;Salvador;HOSPITAL GERAL;ONA Nível 3;ONA
3492931;40881302000130;HOPE HOSPITAL DE OLHOS DO RECIFE;PE;Recife;HOSPITAL ESPECIALIZADO;ONA Nível 3;ONA
7262914;7403717000123;HEMOCORD;RS;Porto Alegre;CONSULTORIO ISOLADO;ONA Nível 3;ONA
2518635;1554604000142;CLINICA SAO MARCELO;GO;Goiânia;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);ONA Nível 3;ONA
3211541;38050860000102;CLINICA JANICE LAMAS ASA SUL;DF;Brasília;CLINICA/CENTRO DE ESPECIALIDADE;ONA Nível 3;ONA
2049619;50097724000173;INSTITUTO DE PATOLOGIA DE CAMPINAS;SP;Campinas;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);ONA Nível 3;ONA
7102135;6066607000312;PRO GASTRO SOLEN;SP;Campinas;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);ONA Nível 3;ONA
6988008;6025637000119;CCB CENTRO DE CRIOGENIA BRASIL;SP;São Paulo;CLINICA/CENTRO DE ESPECIALIDADE;ONA Nível 3;ONA
